Frequency,Bandgap_Number,Start_Frequency,End_Frequency,Bandgap_Width
5,1,3.245573,3.393153,0.14758
5,2,3.462677,3.636049,0.173372
5,3,3.695998,3.853933,0.157935
5,4,7.140403,7.270679,0.130276
5,5,7.356519,7.46954,0.113021000000001
5,6,7.807522,7.953798,0.146276
5,7,8.014679,8.198245,0.183566000000001
6,1,3.03865,3.173628,0.134978
6,2,3.225646,3.392157,0.166511
6,3,3.465732,3.603716,0.137984
6,4,3.700536,3.804905,0.104369
6,5,7.677556,7.830968,0.153412
6,6,7.881337,8.066618,0.185281
6,7,8.073268,8.248374,0.175106
7,1,3.05139,3.159395,0.108005
7,2,3.372306,3.473599,0.101293
7,3,3.585853,3.700552,0.114699
7,4,3.810762,3.914277,0.103515
7,5,7.18458,7.286006,0.101426
7,6,7.748665,7.940625,0.19196
7,7,7.944174,8.118015,0.173840999999999
7,8,8.545181,8.651163,0.105982000000001
8,1,3.158261,3.296907,0.138646
8,2,3.356603,3.521519,0.164916
8,3,3.560085,3.738004,0.177919
8,4,3.77846,3.914711,0.136251
8,5,7.293871,7.407244,0.113373
8,6,7.492369,7.603593,0.111224
8,7,7.830699,7.986807,0.156108
8,8,8.321395,8.429662,0.108267
9,1,3.187085,3.28947,0.102385
9,2,7.32038,7.438645,0.118265
9,3,7.516374,7.630762,0.114388
9,4,7.745212,7.855608,0.110396
9,5,8.021446,8.171455,0.150009000000001
10,1,3.087187,3.192359,0.105172
10,2,3.25733,3.368491,0.111161
10,3,3.712605,3.827796,0.115191
10,4,7.891808,8.04611,0.154302
10,5,8.059497,8.16394,0.104443
11,1,3.390576,3.494136,0.10356
11,2,3.575221,3.688397,0.113176
11,3,7.794506,7.918342,0.123836
11,4,7.955934,8.062257,0.106323000000001
12,1,3.581064,3.708958,0.127894
12,2,3.76628,3.871559,0.105279
12,3,5.46117,5.588301,0.127131
12,4,7.154405,7.274797,0.120392000000001
12,5,7.317266,7.460429,0.143163
12,6,7.523393,7.634837,0.111444
12,7,7.936522,8.070261,0.133739
13,1,3.471759,3.605489,0.13373
13,2,5.425539,5.605169,0.17963
13,3,7.208454,7.319463,0.111009
13,4,7.386995,7.507872,0.120877
13,5,7.837098,7.947532,0.110434
14,1,5.388739,5.62192,0.233181
14,2,7.385901,7.502927,0.117026
14,3,7.581955,7.68589,0.103935
14,4,7.952409,8.054438,0.102028999999999
15,1,5.350832,5.638529,0.287697000000001
15,2,7.700544,7.809409,0.108865
15,3,7.847478,7.952046,0.104568
15,4,8.064852,8.168896,0.104044
16,1,5.311866,5.653065,0.341199
17,1,5.271883,5.656028,0.384145
17,2,7.324634,7.459387,0.134753000000001
18,1,5.230922,5.659125,0.428203000000001
18,2,7.342774,7.443694,0.100919999999999
18,3,7.485149,7.594387,0.109238
19,1,5.189021,5.662359,0.473338
20,1,5.146221,5.665732,0.519511000000001
21,1,5.103694,5.66925,0.565556
22,1,5.061972,5.672912,0.61094
23,1,5.019544,5.676724,0.65718
24,1,4.976434,5.680687,0.704253
24,2,10.479627,10.580987,0.10136
25,1,4.936185,5.684807,0.748622
25,2,10.502558,10.605803,0.103244999999999
26,1,4.895356,5.689084,0.793728000000001
26,2,10.526767,10.631857,0.105090000000001
26,3,10.941636,11.042533,0.100897
27,1,4.857838,5.693523,0.835685
27,2,10.552244,10.653954,0.101710000000001
27,3,10.659129,10.765046,0.105917
27,4,11.075291,11.175599,0.100308
28,1,4.822161,5.698128,0.875966999999999
28,2,10.687589,10.795079,0.10749
28,3,10.797585,10.90126,0.103675000000001
29,1,4.789711,5.702903,0.913192
29,2,10.826186,10.928865,0.102679
29,3,10.933684,11.039481,0.105797000000001
30,1,0.774868,0.879605,0.104737
30,2,4.766808,5.70785,0.941041999999999
30,3,11.178498,11.279012,0.100514
31,1,4.823341,5.712971,0.889629999999999
31,2,10.44825,10.551486,0.103236000000001
32,1,4.916294,5.718275,0.801981
32,2,10.463506,10.577787,0.114281
32,3,10.581259,10.69534,0.114081000000001
32,4,10.697638,10.811543,0.113905000000001
32,5,10.812428,10.92539,0.112962
32,6,10.926185,11.036264,0.110078999999999
32,7,11.039037,11.144761,0.105724
32,8,11.149855,11.250566,0.100710999999999
33,1,0.590077,0.702719,0.112642
33,2,0.70454,0.814411,0.109871
33,3,0.816946,0.923335,0.106389
33,4,5.004325,5.723761,0.719436
34,1,5.08747,5.72668,0.63921
35,1,5.165787,5.726708,0.560921
35,2,10.694149,10.797576,0.103427
35,3,10.801349,10.907434,0.106085
36,1,0.745258,0.846146,0.100888
36,2,5.239375,5.726865,0.48749
36,3,10.478347,10.584365,0.106018000000001
36,4,10.587312,10.689676,0.102364
37,1,5.30835,5.727119,0.418769
37,2,10.886031,10.986038,0.100007000000002
38,1,5.37287,5.727476,0.354606
38,2,7.610197,7.711022,0.100824999999999
39,1,5.433099,5.72791,0.294810999999999
39,2,7.604276,7.705301,0.101025000000001
40,1,5.489226,5.727126,0.2379
41,1,5.54146,5.705933,0.164473
41,2,7.833083,8.025413,0.19233
42,1,7.782389,8.070027,0.287637999999999
43,1,7.732218,8.112942,0.380724000000001
44,1,7.682633,8.154009,0.471376
45,1,7.63369,8.19176,0.558070000000001
46,1,7.585443,8.226692,0.641249
47,1,7.537938,8.259295,0.721357
48,1,7.49122,8.289402,0.798182000000001
49,1,7.445331,8.3169,0.871569
50,1,7.400305,8.341407,0.941102
51,1,7.35618,8.362662,1.006482
52,1,7.312984,8.381231,1.068247
53,1,7.270746,8.397065,1.126319
54,1,7.229492,8.41013,1.180638
55,1,7.189241,8.420393,1.231152
56,1,7.150018,8.41564,1.265622
57,1,7.144042,8.406438,1.262396
58,1,7.146211,8.373463,1.227252
59,1,7.149134,8.273773,1.124639
60,1,7.152793,8.171906,1.019113
61,1,7.157849,8.068195,0.910346
62,1,7.163948,7.963019,0.799071
63,1,7.170761,7.856803,0.686042
64,1,7.178264,7.750024,0.571759999999999
65,1,7.18642,7.643193,0.456773
66,1,7.195186,7.536862,0.341676000000001
67,1,7.204524,7.431612,0.227088
68,1,7.214369,7.328042,0.113673
